iso_code,countryname,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,smoking_rate,death_rate
KAZ,Kazakhstan,24055.588,466.792,7.11,25.05,1.65948
FIN,Finland,40585.721,153.507,5.76,20.45,0.76533
BHS,Bahamas,27717.847,235.954,13.17,11.75,2.51745
IRN,Iran,19082.62,270.308,9.59,10.95,2.15662
SYC,Seychelles,26382.287,242.648,10.55,21.4,0.51464
PNG,Papua New Guinea,3823.194,561.494,17.65,36.15,1.16273
GRD,Grenada,13593.877,243.964,10.71,,2.59740
PAK,Pakistan,5034.708,423.031,8.35,19.75,2.22560
BFA,Burkina Faso,1703.102,269.048,2.42,12.75,1.27618
ALB,Albania,11803.431,304.195,10.08,29.15,1.57740
PAN,Panama,22267.037,128.346,8.33,6.15,1.54731
KGZ,Kyrgyzstan,3393.474,436.362,7.11,27.05,1.45920
BRN,Brunei,71809.251,201.285,12.79,16.45,0.56716
STP,Sao Tome and Principe,3052.714,270.113,2.42,,1.46312
NZL,New Zealand,36085.843,128.797,8.08,16,0.64209
UKR,Ukraine,7894.393,539.849,7.11,30.45,2.37184
DZA,Algeria,13913.839,278.364,6.73,15.55,2.85197
THA,Thailand,16277.671,109.861,7.04,20.35,1.04133
BDI,Burundi,702.225,293.068,6.05,,0.23233
JOR,Jordan,8337.49,208.257,11.75,,1.30324
KWT,Kuwait,65530.537,132.235,15.84,19.85,0.59461
COL,Colombia,13254.949,124.24,7.44,9.1,2.54767
GIN,Guinea,1998.926,336.717,2.42,,1.24490
MLI,Mali,2014.306,268.024,2.42,12.3,3.60699
POL,Poland,27216.445,227.331,5.91,28.2,2.60265
TUR,Turkey,25129.341,171.285,12.13,27.6,0.89677
SWE,Sweden,46949.283,133.982,4.79,18.85,1.28945
SVK,Slovakia,30155.152,287.959,7.29,30.4,3.08265
DEU,Germany,45229.245,156.139,8.31,30.65,2.22159
MOZ,Mozambique,1136.103,329.942,3.3,17.1,1.26877
IDN,Indonesia,11188.744,342.864,6.32,39.45,3.36354
CYP,Cyprus,32415.132,141.171,9.24,36.15,0.46793
ARE,United Arab Emirates,67293.483,317.84,17.26,19.3,0.28483
SLE,Sierra Leone,1390.3,325.721,2.42,25.05,1.89270
SLV,El Salvador,7292.458,167.295,8.87,10.65,3.06379
AUS,Australia,44648.71,107.791,5.07,14.75,1.24466
GAB,Gabon,16562.413,259.967,7.2,,0.62002
FRA,France,38605.671,86.06,4.77,32.85,1.65485
CHN,China,15308.712,261.899,9.74,25.15,4.82173
UGA,Uganda,1697.707,213.333,2.5,10.05,2.55264
MAR,Morocco,7485.013,419.146,7.14,23.95,1.52727
ZAF,South Africa,12294.876,200.38,5.52,20.65,3.01002
TTO,Trinidad and Tobago,28763.071,228.467,10.97,,2.92478
LKA,Sri Lanka,11669.077,197.093,10.68,13.65,2.47400
TLS,Timor,6570.102,335.346,6.86,42.2,0.58253
CAN,Canada,44017.591,105.599,7.37,14.3,1.71246
BRA,Brazil,14103.452,177.961,8.11,14,2.78312
BWA,Botswana,15807.374,237.372,4.81,20.05,1.32940
MKD,North Macedonia,13111.214,322.688,10.08,,3.47739
AFG,Afghanistan,1803.987,597.029,9.59,,4.64300
SDN,Sudan,4466.507,431.388,15.67,,7.59142
GNQ,Equatorial Guinea,22604.873,202.812,7.78,,1.20278
RWA,Rwanda,1854.211,191.375,4.28,12.85,1.29715
CHE,Switzerland,57410.166,99.739,5.59,25.75,1.32220
ISL,Iceland,46482.958,117.992,5.31,14.75,0.28152
KOR,South Korea,35938.374,85.998,6.8,23.55,0.80564
ECU,Ecuador,10581.936,140.448,5.55,7.15,6.43796
PER,Peru,12236.706,85.755,5.95,,9.17080
TGO,Togo,1429.813,280.033,6.15,7.55,0.89894
YEM,Yemen,1479.147,495.003,5.35,18.4,18.94749
ITA,Italy,35220.084,113.151,4.78,23.8,2.80437
BEN,Benin,2064.236,235.848,0.99,6.45,0.67079
HND,Honduras,4541.795,240.208,7.21,,2.66616
SAU,Saudi Arabia,49045.411,259.538,17.72,13.6,1.59127
LCA,Saint Lucia,12951.839,204.62,11.62,,1.65613
