iso_code,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,female_smokers,male_smokers,handwashing_facilities
NRU,,24.07,5,59.96,43,36.9,
BHS,235.954,13.17,2.9,73.92,3.1,20.4,
NAM,243.811,3.94,,63.71,9.7,34.2,44.6
EST,255.569,4.02,4.69,78.74,24.5,39.3,
PRY,199.128,8.27,1.3,74.25,5,21.6,79.602
LAO,368.111,4,1.5,67.92,7.3,51.2,49.839
TZA,217.288,5.75,0.7,65.46,3.3,26.7,47.953
HRV,253.782,5.59,5.54,78.49,34.3,39.9,
AGO,276.045,3.94,,61.15,,,26.664
OMN,266.342,12.61,1.6,77.86,0.5,15.6,97.4
SVN,153.493,7.25,4.5,81.32,20.1,25,
NER,238.339,2.42,0.3,62.42,0.1,15.4,8.978
SEN,241.219,2.42,,67.94,0.4,16.6,20.859
PAK,423.031,8.35,0.6,67.27,2.8,36.7,59.607
ISR,93.32,6.74,2.99,82.97,15.4,35.4,
CHL,127.993,8.46,2.11,80.18,34.2,41.5,
COM,261.516,11.88,2.2,64.32,4.4,23.6,15.574
CAF,435.727,6.1,1,53.28,,,16.603
TUN,318.991,8.52,2.3,76.7,1.1,65.8,78.687
KHM,270.892,4,0.8,69.82,2,33.7,66.229
PNG,561.494,17.65,,64.5,23.5,48.8,
ALB,304.195,10.08,2.89,78.57,7.1,51.2,
BDI,293.068,6.05,0.8,61.58,,,6.144
LTU,342.989,3.67,6.56,75.93,21.3,38,
GNB,382.474,2.42,,58.32,,,6.403
JOR,208.257,11.75,1.4,74.53,,,
MKD,322.688,10.08,4.28,75.8,,,
AZE,559.812,7.11,4.7,73,0.3,42.5,83.241
BLR,443.129,5.18,11,74.79,10.5,46.1,
ESP,99.403,7.17,2.97,83.56,27.4,31.4,
MUS,224.644,22.02,3.4,74.99,3.2,40.7,
TKM,536.783,7.11,7.4,68.19,,,100
JPN,79.37,5.72,13.05,84.63,11.2,33.7,
ZWE,307.846,1.82,1.7,61.49,1.6,30.7,36.791
FSM,454.343,12.02,,67.88,,,
SXM,,,,78.95,,,
NPL,260.797,7.26,0.3,70.78,9.5,37.8,47.782
HND,240.208,7.21,0.7,75.27,2,,84.169
MWI,227.349,3.94,1.3,64.26,4.4,24.7,8.704
FJI,412.82,14.49,2.3,67.44,10.2,34.8,
BGR,424.688,5.81,7.454,75.05,30.1,44.4,
ARM,341.01,7.11,4.2,75.09,1.5,52.1,94.043
ARE,317.84,17.26,1.2,77.97,1.2,37.4,
LBY,341.862,10.43,3.7,72.91,,,
BTN,217.066,9.75,1.7,71.78,,,79.807
CHE,99.739,5.59,4.53,83.78,22.6,28.9,
LCA,204.62,11.62,1.3,76.2,,,87.202
GBR,122.137,4.28,2.54,81.32,20,24.7,
VNM,245.465,6,2.6,75.4,1,45.9,85.847
MAR,419.146,7.14,1.1,76.68,0.8,47.1,
GAB,259.967,7.2,6.3,66.47,,,
MDA,408.502,5.72,5.8,71.9,5.9,44.6,86.979
GNQ,202.812,7.78,2.1,58.74,,,24.64
MDV,164.905,9.19,,78.92,2.1,55,95.803
STP,270.113,2.42,2.9,70.39,,,41.34
DZA,278.364,6.73,1.9,76.88,0.7,30.4,83.741
KGZ,436.362,7.11,4.5,71.45,3.6,50.5,89.22
TUR,171.285,12.13,2.81,77.69,14.1,41.1,
MNE,387.305,10.08,3.861,76.88,44,47.9,
IDN,342.864,6.32,1.04,71.72,2.8,76.1,64.204
PSE,265.91,10.59,,74.05,,,
BWA,237.372,4.81,1.8,69.59,5.7,34.4,
BRB,170.05,13.57,5.8,79.19,1.9,14.5,88.469
ERI,311.11,6.05,0.7,66.32,0.2,11.4,
ZAF,200.38,5.52,2.32,64.13,8.1,33.2,43.993
LKA,197.093,10.68,3.6,76.98,0.3,27,
ABW,,11.62,,76.29,,,
NGA,181.013,2.42,,54.69,0.6,10.8,41.949
NIC,137.016,11.47,0.9,74.48,,,
COL,124.24,7.44,1.71,77.29,4.7,13.5,65.386
TLS,335.346,6.86,5.9,69.5,6.3,78.1,28.178
FIN,153.507,5.76,3.28,81.91,18.3,22.6,
SAU,259.538,17.72,2.7,75.13,1.8,25.4,
CIV,303.74,2.42,,57.78,,,19.351
BRA,177.961,8.11,2.2,75.88,10.1,17.9,
ISL,117.992,5.31,2.91,82.99,14.3,15.2,
BHR,151.689,16.52,2,77.29,5.8,37.6,
UZB,724.417,7.57,4,71.72,1.3,24.7,
BIH,329.635,10.08,3.5,77.4,30.2,47.7,97.164
MRT,232.347,2.42,,64.92,,,15.95
GRC,175.695,4.55,4.21,82.24,35.3,52,
