iso_code,population_density,median_age,aged_65_older,aged_70_older,mortality_rate,human_development_index
SRB,80.291,41.2,17.366,,,0.806
FSM,150.777,23,4.81,2.392,,0.62
AGO,23.89,16.8,2.405,1.362,,0.581
TKL,,,,,,
TTO,266.886,36.2,10.014,5.819,,0.796
TLS,87.176,18,3.556,1.897,,0.606
NZL,18.206,37.9,15.322,9.72,,0.931
GUY,3.952,26.3,5.305,2.837,,0.682
GAB,7.859,23.1,4.45,2.976,,0.703
SLB,21.841,20.8,3.507,2.043,,0.567
UZB,76.134,28.2,4.469,2.873,,0.72
EST,31.033,42.7,19.452,13.491,,0.892
PLW,47.237,,,,,0.826
GMB,207.566,17.5,2.339,1.417,,0.496
CZE,137.176,43.3,19.027,11.58,,0.9
CAF,7.479,18.3,3.655,2.251,,0.397
MSR,,,,,,
NGA,209.588,18.1,2.751,1.447,,0.539
LKA,341.955,34.1,10.069,5.331,,0.782
GNQ,45.194,22.4,2.846,1.752,,0.592
AUT,106.749,44.4,19.202,13.748,,0.922
NIC,51.667,27.3,5.445,3.519,,0.66
HTI,398.448,24.3,4.8,2.954,,0.51
JEY,,,,,,
ESP,93.105,45.5,19.436,13.799,,0.904
CMR,50.885,18.8,3.165,1.919,,0.563
DEU,237.016,46.6,21.453,15.957,,0.947
IRN,49.831,32.4,5.44,3.182,,0.783
CPV,135.58,25.7,4.46,3.437,,0.665
LAO,29.715,24.4,4.029,2.322,,0.613
GNB,66.191,19.4,3.002,1.565,,0.48
KOR,527.967,43.4,13.914,8.622,,0.916
GHA,126.719,21.1,3.385,1.948,,0.611
TCD,11.833,16.7,2.486,1.446,,0.398
MLI,15.196,16.4,2.519,1.486,,0.434
RUS,8.823,39.6,14.178,9.393,,0.824
CRI,96.079,33.6,9.468,5.694,,0.81
SLV,307.811,27.6,8.273,5.417,,0.673
PAK,255.573,23.5,4.495,2.78,,0.557
GIN,51.755,19,3.135,1.733,,0.477
PER,25.129,29.1,7.151,4.455,,0.777
ISR,402.606,30.6,11.733,7.359,,0.919
GBR,272.898,40.8,18.517,12.527,,0.932
BDI,423.062,17.5,2.562,1.504,,0.433
EGY,97.999,25.3,5.159,2.891,,0.707
CUB,110.408,43.1,14.738,9.719,,0.783
IRL,69.874,38.7,13.928,8.678,,0.955
CUW,362.644,41.7,16.367,10.068,,
BIH,68.496,42.5,16.569,10.711,,0.78
VGB,207.973,,,,,
LBN,594.561,31.1,8.514,5.43,,0.744
SLE,104.7,19.1,2.538,1.285,,0.452
MEX,66.444,29.3,6.857,4.321,,0.779
KGZ,32.333,26.3,4.489,2.882,,0.697
COD,35.879,17,3.02,1.745,,0.48
USA,35.608,38.3,15.413,9.732,,0.926
PAN,55.133,29.7,7.918,5.03,,0.815
DOM,222.873,27.6,6.981,4.419,,0.756
IRQ,88.125,20,3.186,1.957,,0.674
NCL,15.342,33.4,9.954,6.489,,
TUR,104.914,31.6,8.153,5.061,,0.82
COG,15.405,19,3.402,2.063,,0.574
URY,19.751,35.6,14.655,10.361,,0.817
PRT,112.371,46.2,21.502,14.924,,0.864
SVK,113.128,41.2,15.07,9.167,,0.86
RWA,494.869,20.3,2.974,1.642,,0.543
SUR,3.612,29.6,6.933,4.229,,0.738
MYS,96.254,29.9,6.293,3.407,,0.81
SYC,208.354,36.2,8.606,5.586,,0.796
LBR,49.127,19.2,3.057,1.756,,0.48
CAN,4.037,41.4,16.984,10.797,,0.929
DJI,41.285,25.4,4.213,2.38,,0.524
ALB,104.871,38,13.188,8.643,,0.795
ATG,231.845,32.1,6.933,4.631,,0.778
MAC,20546.766,39.2,9.798,4.991,,
BHR,1935.907,32.4,2.372,1.387,,0.852
ITA,205.859,47.9,23.021,16.24,,0.892
LBY,3.623,29,4.424,2.816,,0.724
LCA,293.187,34.9,9.721,6.405,,0.759
CHL,24.282,35.4,11.087,6.938,,0.851
COM,437.352,20.4,2.963,1.726,,0.554
ETH,104.957,19.8,3.526,2.063,,0.485
